data_id,x,y,z,label
1,-72.0,1020.0,4.0,1
1,-64.0,1064.0,0.0,1
1,-64.0,1064.0,0.0,1
1,168.0,1172.0,8.0,1
1,-196.0,784.0,-48.0,1
1,-128.0,1040.0,232.0,1
1,-312.0,1048.0,-292.0,1
1,-64.0,1020.0,-652.0,1
1,-84.0,1028.0,0.0,1
1,-84.0,1012.0,-16.0,1
1,-72.0,1020.0,-12.0,1
1,-96.0,1028.0,-8.0,1
1,-32.0,1116.0,4.0,1
1,-80.0,1340.0,8.0,1
1,60.0,796.0,-104.0,1
1,-268.0,956.0,236.0,1
1,-268.0,1128.0,212.0,1
1,-96.0,1288.0,-360.0,1
1,-376.0,1216.0,-548.0,1
1,-124.0,1012.0,-544.0,1
1,-40.0,1020.0,16.0,1
1,-64.0,1008.0,-8.0,1
1,-76.0,1020.0,-8.0,1
1,-64.0,1036.0,-16.0,1
1,-48.0,1416.0,-8.0,1
1,24.0,1412.0,140.0,1
1,-176.0,512.0,-192.0,1
1,-200.0,1144.0,472.0,1
1,-96.0,1260.0,-56.0,1
1,180.0,632.0,-492.0,1
1,-112.0,1012.0,-1108.0,1
1,-68.0,1024.0,8.0,1
1,-76.0,1012.0,0.0,1
1,-84.0,1020.0,-4.0,1
1,-60.0,1016.0,-4.0,1
1,-124.0,1212.0,8.0,1
1,-52.0,1128.0,76.0,1
1,-176.0,476.0,-160.0,1
1,-56.0,1152.0,408.0,1
1,-284.0,1304.0,-96.0,1
1,-872.0,1016.0,-760.0,1
1,-872.0,1016.0,132.0,1
1,-64.0,1016.0,20.0,1
1,-64.0,1028.0,-8.0,1
1,-72.0,1024.0,-16.0,1
1,-68.0,1040.0,-12.0,1
1,-84.0,1164.0,-16.0,1
1,-68.0,1268.0,-8.0,1
1,-84.0,728.0,-32.0,1
1,8.0,-1900.0,404.0,1
1,-528.0,-444.0,856.0,1
1,-1340.0,2040.0,-484.0,1
1,1488.0,-264.0,-896.0,1
1,-336.0,1728.0,-852.0,1
1,-388.0,-1860.0,408.0,1
1,-364.0,852.0,2040.0,1
1,28.0,384.0,504.0,1
1,-1200.0,888.0,168.0,1
1,-464.0,-468.0,-2008.0,1
1,-456.0,-4.0,-2040.0,1
1,-160.0,-236.0,-736.0,1
1,-688.0,4.0,-712.0,1
1,-372.0,-108.0,-980.0,1
1,-572.0,-40.0,-956.0,1
1,-444.0,-84.0,-920.0,1
1,-516.0,-72.0,-956.0,1
1,-488.0,-72.0,-940.0,1
1,-492.0,-80.0,-952.0,1
1,-500.0,-68.0,-932.0,1
1,-508.0,-76.0,-952.0,1
1,-496.0,-80.0,-952.0,1
1,-500.0,-72.0,-936.0,1
1,-508.0,-68.0,-944.0,1
1,-504.0,-84.0,-944.0,1
